time,precip_rate,TMP_2maboveground,PRES_surface
1981-08-01 00:00:00,0,18.38803,3.096514582
1981-08-02 00:00:00,0,19.054,3.213220594
1981-08-03 00:00:00,0,18.10478,3.029913936
1981-08-04 00:00:00,0,18.50106,3.094288685
1981-08-05 00:00:00,0,18.29731,3.049277864
1981-08-06 00:00:00,0,18.76695,3.127249217
1981-08-07 00:00:00,0,19.27764,3.214519911
1981-08-08 00:00:00,0.46694,19.19936,3.191164199
1981-08-09 00:00:00,0,18.83611,3.114959062
1981-08-10 00:00:00,1.02914,17.46561,2.863222477
1981-08-11 00:00:00,1.18064,14.74869,2.422627964
1981-08-12 00:00:00,0,15.23958,2.489262692
1981-08-13 00:00:00,0,16.67822,2.708065007
1981-08-14 00:00:00,2.21197,16.63947,2.693952867
1981-08-15 00:00:00,0,17.43389,2.81725847
1981-08-16 00:00:00,0,17.03267,2.742210244
1981-08-17 00:00:00,0,18.01453,2.899307913
1981-08-18 00:00:00,0.51139,18.53031,2.980523732
1981-08-19 00:00:00,0,18.63172,2.989356536
1981-08-20 00:00:00,0.00792,17.85731,2.846100761
1981-08-21 00:00:00,1.23528,18.39736,2.92989455
1981-08-22 00:00:00,0,16.47336,2.603149615
1981-08-23 00:00:00,0,16.86053,2.656104839
1981-08-24 00:00:00,0.00681,18.33233,2.890992697
1981-08-25 00:00:00,0,19.22675,3.03832465
1981-08-26 00:00:00,0.00556,20.65953,3.293843592
1981-08-27 00:00:00,0,19.66853,3.098078173
1981-08-28 00:00:00,0.55528,19.16478,2.997626173
1981-08-29 00:00:00,0,19.36211,3.022621283
1981-08-30 00:00:00,0,17.7585,2.73930335
1981-08-31 00:00:00,0,15.30164,2.354332148
1981-09-01 00:00:00,0.65658,12.88475,2.022361512
1981-09-02 00:00:00,0,15.32033,2.340971494
1981-09-03 00:00:00,0,14.64097,2.238157883
1981-09-04 00:00:00,0,16.33772,2.472694286
1981-09-05 00:00:00,0.25192,16.97647,2.56066666
1981-09-06 00:00:00,2.22158,10.82836,1.747392875
1981-09-07 00:00:00,0.01628,11.56447,1.823821581
1981-09-08 00:00:00,0.00236,13.50361,2.050590703
1981-09-09 00:00:00,3.64697,14.40267,2.159506673
1981-09-10 00:00:00,0.02381,14.38831,2.149840502
1981-09-11 00:00:00,0.66083,13.6475,2.046631736
1981-09-12 00:00:00,0,15.27108,2.252552394
1981-09-13 00:00:00,0.02892,15.96639,2.341078749
1981-09-14 00:00:00,0,16.33225,2.384622614
1981-09-15 00:00:00,0,15.52478,2.262410025
1981-09-16 00:00:00,0,15.63228,2.268755655
1981-09-17 00:00:00,0,16.16617,2.33456344
1981-09-18 00:00:00,0,16.19378,2.329669927
1981-09-19 00:00:00,0,16.51622,2.366472247
1981-09-20 00:00:00,0,15.15181,2.170375149
1981-09-21 00:00:00,0,12.66908,1.85560443
1981-09-22 00:00:00,0,12.48425,1.827342849
1981-09-23 00:00:00,0,11.32769,1.693176024
1981-09-24 00:00:00,0.28317,11.62767,1.718707822
1981-09-25 00:00:00,1.24953,12.11794,1.765395999
1981-09-26 00:00:00,17.811,3.97419,1.038587908
1981-09-27 00:00:00,0,6.54347,1.226281179
1981-09-28 00:00:00,0.6605,12.01883,1.733930759
1981-09-29 00:00:00,0,13.25633,1.86530528
1981-09-30 00:00:00,1.2865,8.8075,1.403425323
1981-10-01 00:00:00,0,6.80619,1.227874764
1981-10-02 00:00:00,0,10.18978,1.520726407
1981-10-03 00:00:00,1.24711,10.4322,1.538088321
1981-10-04 00:00:00,15.11875,5.77386,1.13369287
1981-10-05 00:00:00,6.46764,2.80128,0.925930518
1981-10-06 00:00:00,0.67167,4.9042,1.061666505
1981-10-07 00:00:00,0,8.89231,1.37175646
1981-10-08 00:00:00,4.53675,8.54689,1.336153771
1981-10-09 00:00:00,2.47731,2.74956,0.90773866
1981-10-10 00:00:00,2.84844,4.81497,1.038230741
1981-10-11 00:00:00,22.94942,5.90383,1.111149932
1981-10-12 00:00:00,20.31481,3.15842,0.921655354
1981-10-13 00:00:00,9.08422,0.10975,0.745368036
1981-10-14 00:00:00,4.96017,0.21817,0.747861325
1981-10-15 00:00:00,1.80406,0.17603,0.742586347
1981-10-16 00:00:00,3.51458,1.65622,0.818644528
1981-10-17 00:00:00,7.24353,0.10381,0.732740696
1981-10-18 00:00:00,0.84386,3.68278,0.931145838
1981-10-19 00:00:00,0,5.79108,1.066767138
1981-10-20 00:00:00,0,6.21147,1.092083786
1981-10-21 00:00:00,0,5.39739,1.030721808
1981-10-22 00:00:00,0.02431,2.8555,0.866051802
1981-10-23 00:00:00,0,2.47606,0.840561137
1981-10-24 00:00:00,0.43975,3.18839,0.878314075
1981-10-25 00:00:00,0.15164,0.86539,0.746761364
1981-10-26 00:00:00,0,3.27792,0.876242735
1981-10-27 00:00:00,0,6.59183,1.087245322
1981-10-28 00:00:00,0.50589,6.59522,1.082947471
1981-10-29 00:00:00,5.95189,5.0155,0.971843839
1981-10-30 00:00:00,13.13478,-1.25244,0.63140348
1981-10-31 00:00:00,3.44411,-3.23825,0.546516726
1981-11-01 00:00:00,0.42744,-0.05789,0.680504992
1981-11-02 00:00:00,0.53564,5.071,0.959377019
1981-11-03 00:00:00,0,5.9005,1.009255023
1981-11-04 00:00:00,0.01,5.77858,0.997093673
1981-11-05 00:00:00,0,5.03975,0.945708305
1981-11-06 00:00:00,0,5.34764,0.961286574
1981-11-07 00:00:00,0,4.98631,0.934781628
1981-11-08 00:00:00,0,2.59856,0.793368543
1981-11-09 00:00:00,0,2.66364,0.793713648
1981-11-10 00:00:00,0,2.9805,0.807704686
1981-11-11 00:00:00,0,3.37419,0.826182146
1981-11-12 00:00:00,0,3.44906,0.827145851
1981-11-13 00:00:00,0.49736,5.38556,0.937525063
1981-11-14 00:00:00,1.96603,5.78272,0.958787898
1981-11-15 00:00:00,8.21664,2.29714,0.756582927
1981-11-16 00:00:00,3.32122,3.25667,0.804309643
1981-11-17 00:00:00,2.08083,6.85661,1.017420794
1981-11-18 00:00:00,11.42797,3.40439,0.806485531
1981-11-19 00:00:00,5.32586,-5.30544,0.437393195
1981-11-20 00:00:00,1.32467,-1.41031,0.575431144
1981-11-21 00:00:00,0.53564,-1.48144,0.570616253
1981-11-22 00:00:00,1.93175,1.58256,0.703061439
1981-11-23 00:00:00,6.84497,-0.57756,0.603795934
1981-11-24 00:00:00,20.02617,1.38681,0.68922739
1981-11-25 00:00:00,15.10411,-0.20539,0.615693049
1981-11-26 00:00:00,4.87683,-9.38644,0.316207871
1981-11-27 00:00:00,3.30178,-7.51483,0.362514994
1981-11-28 00:00:00,1.80928,-7.24031,0.368875244
1981-11-29 00:00:00,1.73303,-6.33186,0.393243472
1981-11-30 00:00:00,0.58119,-7.82575,0.351291157
1981-12-01 00:00:00,1.92756,-9.24789,0.315072883
1981-12-02 00:00:00,3.34031,-5.35547,0.418943153
1981-12-03 00:00:00,1.72231,-1.1955,0.56213759
1981-12-04 00:00:00,1.25169,-1.60297,0.545041541
1981-12-05 00:00:00,0.36383,0.22636,0.617743651
1981-12-06 00:00:00,0.8355,1.47406,0.671640676
1981-12-07 00:00:00,0,4.05789,0.798248383
1981-12-08 00:00:00,0,3.20453,0.752396183
1981-12-09 00:00:00,0,4.06444,0.795681201
1981-12-10 00:00:00,0,5.52033,0.875055703
1981-12-11 00:00:00,0,3.37194,0.757158192
1981-12-12 00:00:00,0,-2.90917,0.489816382
1981-12-13 00:00:00,0.30839,-2.89364,0.48972644
1981-12-14 00:00:00,3.23836,-3.24936,0.476937554
1981-12-15 00:00:00,15.629,-0.10322,0.594318885
1981-12-16 00:00:00,21.3242,-0.54489,0.575848115
1981-12-17 00:00:00,10.38825,-5.52167,0.403901015
1981-12-18 00:00:00,0.836,-4.77158,0.426182036
1981-12-19 00:00:00,3.22458,-1.88367,0.523342264
1981-12-20 00:00:00,23.97481,2.05519,0.68705676
1981-12-21 00:00:00,17.18086,2.33242,0.699952364
1981-12-22 00:00:00,22.55589,-5.17211,0.413504206
1981-12-23 00:00:00,4.77942,-10.89147,0.270293732
1981-12-24 00:00:00,0,-10.87089,0.270762555
1981-12-25 00:00:00,9.68747,-8.47328,0.324540797
1981-12-26 00:00:00,8.82967,-8.56267,0.322521507
1981-12-27 00:00:00,19.29486,-6.30047,0.38145239
1981-12-28 00:00:00,3.66361,-11.34756,0.261597299
1981-12-29 00:00:00,2.6225,-8.95847,0.31376695
1981-12-30 00:00:00,30.96069,-3.19619,0.478459137
1981-12-31 00:00:00,11.97033,-7.81819,0.342314621
1982-01-01 00:00:00,15.86503,-7.98936,0.338403732
1982-01-02 00:00:00,22.71994,-11.60239,0.257935208
1982-01-03 00:00:00,4.11281,-13.80583,0.217740913
1982-01-04 00:00:00,9.03275,-11.44156,0.261937316
1982-01-05 00:00:00,15.70356,-4.93639,0.425867354
1982-01-06 00:00:00,13.87464,-12.10922,0.249712122
1982-01-07 00:00:00,1.03556,-18.70483,0.14808447
1982-01-08 00:00:00,0.51378,-16.03053,0.184264016
1982-01-09 00:00:00,4.34292,-9.67214,0.302587351
1982-01-10 00:00:00,1.07533,-7.46472,0.357637658
1982-01-11 00:00:00,0.58028,-7.52547,0.356882998
1982-01-12 00:00:00,1.05308,-9.951,0.298404229
1982-01-13 00:00:00,0.94597,-9.47428,0.31013483
1982-01-14 00:00:00,5.14272,-7.03147,0.373017787
1982-01-15 00:00:00,5.13142,-6.53611,0.387924126
1982-01-16 00:00:00,7.20564,-5.11983,0.431338487
1982-01-17 00:00:00,2.87544,-0.97667,0.580850616
1982-01-18 00:00:00,1.09969,-0.29539,0.610918214
1982-01-19 00:00:00,2.20386,-4.01733,0.471279185
1982-01-20 00:00:00,1.08736,-8.15167,0.349539229
1982-01-21 00:00:00,13.20075,-8.48819,0.341997804
1982-01-22 00:00:00,16.34975,-8.99486,0.330379075
1982-01-23 00:00:00,6.82072,-11.30344,0.278311018
1982-01-24 00:00:00,6.75728,-3.17172,0.509050949
1982-01-25 00:00:00,6.18444,-2.87667,0.521682154
1982-01-26 00:00:00,0.24394,0.92639,0.68283111
1982-01-27 00:00:00,18.65683,-1.76125,0.568563329
1982-01-28 00:00:00,1.23103,-5.98567,0.421657125
1982-01-29 00:00:00,1.47742,-5.79428,0.429190167
1982-01-30 00:00:00,0.00022,-7.00794,0.39417425
1982-01-31 00:00:00,1.81722,-6.86458,0.399889339
1982-02-01 00:00:00,4.49783,-8.29114,0.361212424
1982-02-02 00:00:00,2.14667,-9.59408,0.328897224
1982-02-03 00:00:00,7.76994,-7.75444,0.378887483
1982-02-04 00:00:00,0.94844,-15.78911,0.205051921
1982-02-05 00:00:00,0,-21.95561,0.12406801
1982-02-06 00:00:00,0,-20.98666,0.135155906
1982-02-07 00:00:00,0,-14.42844,0.231203684
1982-02-08 00:00:00,0.57022,-13.63775,0.247020546
1982-02-09 00:00:00,0,-17.07531,0.188750084
1982-02-10 00:00:00,2.78997,-14.65725,0.229897416
1982-02-11 00:00:00,0,-13.6322,0.250221282
1982-02-12 00:00:00,0.05406,-11.08131,0.306040024
1982-02-13 00:00:00,0.4305,-5.52661,0.464919606
1982-02-14 00:00:00,1.66239,-2.29408,0.588575958
1982-02-15 00:00:00,3.63108,1.44383,0.766415166
1982-02-16 00:00:00,10.92711,2.13114,0.80658823
1982-02-17 00:00:00,14.74089,1.27308,0.76394957
1982-02-18 00:00:00,3.80192,-0.61642,0.673358366
1982-02-19 00:00:00,2.92956,-0.31233,0.690671467
1982-02-20 00:00:00,0.03011,0.88383,0.753353004
1982-02-21 00:00:00,1.22072,3.44392,0.90034095
1982-02-22 00:00:00,9.65128,5.63019,1.045883743
1982-02-23 00:00:00,5.56658,1.5715,0.799827776
1982-02-24 00:00:00,0,-4.66606,0.51842586
1982-02-25 00:00:00,3.33456,-3.52239,0.565167782
1982-02-26 00:00:00,6.10161,-0.45858,0.704319843
1982-02-27 00:00:00,3.59989,1.23325,0.794905841
1982-02-28 00:00:00,0.07514,0.35222,0.751344629
1982-03-01 00:00:00,1.26528,1.96067,0.842481521
1982-03-02 00:00:00,15.60992,2.79411,0.895249594
1982-03-03 00:00:00,10.724,-1.54464,0.666790301
1982-03-04 00:00:00,6.53372,-3.31094,0.59095934
1982-03-05 00:00:00,10.30439,-6.17417,0.482629833
1982-03-06 00:00:00,0,-6.06147,0.488656271
1982-03-07 00:00:00,1.72622,-4.67311,0.542720607
1982-03-08 00:00:00,1.12528,-0.62756,0.725926957
1982-03-09 00:00:00,0,0.43219,0.784487469
1982-03-10 00:00:00,1.63453,2.18339,0.888070071
1982-03-11 00:00:00,0.13542,3.39147,0.967606002
1982-03-12 00:00:00,26.739,-1.81761,0.679009679
1982-03-13 00:00:00,1.57997,-5.30856,0.5313011
1982-03-14 00:00:00,2.36133,0.56994,0.808361126
1982-03-15 00:00:00,21.10955,0.60519,0.813615975
1982-03-16 00:00:00,14.41314,-1.61733,0.699907033
1982-03-17 00:00:00,13.60781,-2.62394,0.654560773
1982-03-18 00:00:00,2.21464,-0.91283,0.741214559
1982-03-19 00:00:00,9.88625,-1.87328,0.695727919
1982-03-20 00:00:00,10.97411,-5.66639,0.532431703
1982-03-21 00:00:00,1.97833,-8.07114,0.44787143
1982-03-22 00:00:00,0.78658,-7.19822,0.479666532
1982-03-23 00:00:00,0.46997,-5.36544,0.550662062
1982-03-24 00:00:00,0.38978,-2.72947,0.667892195
1982-03-25 00:00:00,1.22839,-0.82864,0.766381175
1982-03-26 00:00:00,5.61817,1.92922,0.930382983
1982-03-27 00:00:00,2.61239,1.56156,0.91082994
1982-03-28 00:00:00,3.37208,2.57075,0.979278109
1982-03-29 00:00:00,28.41192,2.24794,0.961716869
