Time Step,Time,water_output
529,1982-06-14 00:00:00,13.670697092
530,1982-06-15 00:00:00,13.802161915
531,1982-06-16 00:00:00,13.656959169
532,1982-06-17 00:00:00,13.524525420
533,1982-06-18 00:00:00,13.383648038
534,1982-06-19 00:00:00,13.045751312
535,1982-06-20 00:00:00,12.963735074
536,1982-06-21 00:00:00,13.033345506
537,1982-06-22 00:00:00,13.184907344
538,1982-06-23 00:00:00,13.290405361
539,1982-06-24 00:00:00,13.372591135
540,1982-06-25 00:00:00,13.795576067
541,1982-06-26 00:00:00,13.613787177
542,1982-06-27 00:00:00,13.685812776
543,1982-06-28 00:00:00,14.236955533
544,1982-06-29 00:00:00,14.626544822
545,1982-06-30 00:00:00,14.721849665
546,1982-07-01 00:00:00,16.846123584
547,1982-07-02 00:00:00,17.853577196
548,1982-07-03 00:00:00,18.227420896
549,1982-07-04 00:00:00,17.490024781
550,1982-07-05 00:00:00,18.270952630
551,1982-07-06 00:00:00,17.028145438
552,1982-07-07 00:00:00,15.929270976
553,1982-07-08 00:00:00,17.149659256
554,1982-07-09 00:00:00,17.677306642
555,1982-07-10 00:00:00,16.640603541
556,1982-07-11 00:00:00,16.278092431
557,1982-07-12 00:00:00,16.376974408
558,1982-07-13 00:00:00,16.697436173
559,1982-07-14 00:00:00,17.014963179
560,1982-07-15 00:00:00,17.020155726
561,1982-07-16 00:00:00,17.029261768
562,1982-07-17 00:00:00,16.786904112
563,1982-07-18 00:00:00,16.546856819
564,1982-07-19 00:00:00,16.612652270
565,1982-07-20 00:00:00,16.948149579
566,1982-07-21 00:00:00,17.696646115
567,1982-07-22 00:00:00,18.217874965
568,1982-07-23 00:00:00,18.626264476
569,1982-07-24 00:00:00,21.051447195
570,1982-07-25 00:00:00,27.395801969
571,1982-07-26 00:00:00,26.027878982
572,1982-07-27 00:00:00,27.328607861
573,1982-07-28 00:00:00,28.268041761
574,1982-07-29 00:00:00,36.508791212
575,1982-07-30 00:00:00,36.645997276
576,1982-07-31 00:00:00,33.615835850
577,1982-08-01 00:00:00,31.539061137
578,1982-08-02 00:00:00,29.818448503
579,1982-08-03 00:00:00,27.800410754
580,1982-08-04 00:00:00,26.096689103
581,1982-08-05 00:00:00,25.102821812
582,1982-08-06 00:00:00,24.009450554
583,1982-08-07 00:00:00,23.240308756
584,1982-08-08 00:00:00,22.909559943
585,1982-08-09 00:00:00,22.347945243
586,1982-08-10 00:00:00,23.385576744
587,1982-08-11 00:00:00,22.871380786
588,1982-08-12 00:00:00,22.583738487
589,1982-08-13 00:00:00,21.637968815
590,1982-08-14 00:00:00,20.129596911
591,1982-08-15 00:00:00,17.157496274
592,1982-08-16 00:00:00,14.624058361
593,1982-08-17 00:00:00,12.464544440
594,1982-08-18 00:00:00,10.623769901
595,1982-08-19 00:00:00,9.054917396
596,1982-08-20 00:00:00,7.717409458
597,1982-08-21 00:00:00,6.577326454
598,1982-08-22 00:00:00,5.962468919
599,1982-08-23 00:00:00,5.693342798
600,1982-08-24 00:00:00,5.436362265
601,1982-08-25 00:00:00,5.190979251
602,1982-08-26 00:00:00,4.956670417
603,1982-08-27 00:00:00,4.876757098
604,1982-08-28 00:00:00,4.657230873
605,1982-08-29 00:00:00,5.767925788
606,1982-08-30 00:00:00,7.078768506
607,1982-08-31 00:00:00,6.331488812
608,1982-09-01 00:00:00,5.900241618
609,1982-09-02 00:00:00,5.739878937
610,1982-09-03 00:00:00,5.480833427
611,1982-09-04 00:00:00,5.233477530
612,1982-09-05 00:00:00,4.997283784
613,1982-09-06 00:00:00,4.771748528
614,1982-09-07 00:00:00,4.831649002
615,1982-09-08 00:00:00,4.613591463
616,1982-09-09 00:00:00,4.405373963
617,1982-09-10 00:00:00,4.551245226
618,1982-09-11 00:00:00,5.900438884
619,1982-09-12 00:00:00,7.582825768
620,1982-09-13 00:00:00,8.218902462
621,1982-09-14 00:00:00,10.001498501
622,1982-09-15 00:00:00,11.406338691
623,1982-09-16 00:00:00,12.361811856
624,1982-09-17 00:00:00,10.547716125
625,1982-09-18 00:00:00,8.990615518
626,1982-09-19 00:00:00,7.773816249
627,1982-09-20 00:00:00,7.549502212
628,1982-09-21 00:00:00,6.514169748
629,1982-09-22 00:00:00,5.950244884
630,1982-09-23 00:00:00,5.681752385
631,1982-09-24 00:00:00,5.425374348
632,1982-09-25 00:00:00,5.534663843
633,1982-09-26 00:00:00,18.483878888
634,1982-09-27 00:00:00,43.533131322
635,1982-09-28 00:00:00,43.855474455
636,1982-09-29 00:00:00,37.382989120
637,1982-09-30 00:00:00,31.865717033
638,1982-10-01 00:00:00,27.162688476
639,1982-10-02 00:00:00,23.153737910
640,1982-10-03 00:00:00,20.560872483
641,1982-10-04 00:00:00,23.046471771
642,1982-10-05 00:00:00,22.133801258
643,1982-10-06 00:00:00,18.867045186
644,1982-10-07 00:00:00,16.663768769
645,1982-10-08 00:00:00,14.204291073
646,1982-10-09 00:00:00,12.107788486
647,1982-10-10 00:00:00,10.320693268
648,1982-10-11 00:00:00,8.797343160
649,1982-10-12 00:00:00,7.624181481
650,1982-10-13 00:00:00,6.999454871
651,1982-10-14 00:00:00,6.556599930
652,1982-10-15 00:00:00,6.574091970
653,1982-10-16 00:00:00,6.601325776
654,1982-10-17 00:00:00,6.573463329
655,1982-10-18 00:00:00,6.212333999
656,1982-10-19 00:00:00,5.873060226
657,1982-10-20 00:00:00,5.608078373
658,1982-10-21 00:00:00,5.359606226
659,1982-10-22 00:00:00,5.240062463
660,1982-10-23 00:00:00,5.236935459
661,1982-10-24 00:00:00,5.307177666
662,1982-10-25 00:00:00,5.628109781
